Bloque&Varid,Media_2025_Sem1_17,Media_2025_Sem22_52,Factor_diferencia,Diferencia_absoluta
001BELIEVE IN PINK,1402.9411764705883,1389.6774193548388,0.990546,-13.263757
001EXPLORER,4267.64705882353,4059.6774193548385,0.951268,-207.969639
001GRACE KELLY,2160.294117647059,1899.032258064516,0.879062,-261.26186
001IDOLE,1655.2941176470588,1098.5483870967741,0.663658,-556.745731
001LIGHT HOUSE,2290.5882352941176,1704.1935483870968,0.743998,-586.394687
001LUMIA,2357.6470588235293,1843.5483870967741,0.781944,-514.098672
001MOMENTUM,3994.1176470588234,3813.7096774193546,0.954832,-180.40797
002SOMERSET,9547.058823529413,8978.064516129032,0.940401,-568.994307
002SUMMER ROMANCE,1072.0588235294117,1440.3225806451612,1.343511,368.263757
002SWEETNESS,7376.470588235294,7435.1612903225805,1.007956,58.690702
003CABARET,6277.058823529412,5570.322580645161,0.88741,-706.736243
003DEEP PURPLE,12871.764705882353,10263.870967741936,0.797394,-2607.893738
003EXPLORER,2388.235294117647,2287.0967741935483,0.957651,-101.13852
003JOCKER,983.8235294117648,822.5806451612904,0.836106,-161.242884
003QUICKSAND,2174.1176470588234,1762.258064516129,0.810562,-411.859583
004BELLINA,1790.2941176470588,1676.1290322580646,0.936231,-114.165085
004COTOPAXI,1184.1176470588234,1187.4193548387098,1.002788,3.301708
004DEEP PURPLE,13690.588235294117,11474.516129032258,0.838132,-2216.072106
004HOT EXPLORER,3484.705882352941,3125.3225806451615,0.896868,-359.383302
004HOT MERENGUE,3185.294117647059,2504.516129032258,0.786275,-680.777989
004SWEETNESS,723.5294117647059,620.3225806451613,0.857356,-103.206831
005ELBA,7148.823529411765,7554.193548387097,1.056704,405.370019
005EXPLORER,2035.2941176470588,1462.9032258064517,0.718767,-572.390892
005GOLDFINCH,1526.4705882352941,1103.0645161290322,0.722624,-423.406072
005HOT BUBBLES,1325.8823529411766,1280.0,0.965395,-45.882353
005JOCKER,2322.0588235294117,2096.7741935483873,0.902981,-225.28463
005SUSPIRO,3070.5882352941176,3722.9032258064517,1.21244,652.314991
005VACIO,0.0,,,
005VENDELA,2092.9411764705883,1817.4193548387098,0.868357,-275.521822
006ATOMIC,1744.1176470588234,1374.1935483870968,0.787902,-369.924099
006EXPLORER,6845.588235294118,6052.419354838709,0.884134,-793.16888
006MONDIAL,7663.235294117647,6241.129032258064,0.814425,-1422.106262
006VACIO,0.0,,,
007COTOPAXI,6488.823529411765,6779.032258064516,1.044724,290.208729
007REDIANT,1258.8235294117646,1375.8064516129032,1.09293,116.982922
007SNOW BUBBLES,1194.1176470588234,1009.0322580645161,0.845002,-185.085389
007SUMMER ROMANCE,0.0,229.83870967741936,,229.83871
007TOPACIO,0.0,0.0,,0.0
007VENDELA,9575.29411764706,10891.935483870968,1.137504,1316.641366
008DEEP PURPLE,6845.294117647059,4472.903225806452,0.653427,-2372.390892
008FREE SPIRIT,2405.8823529411766,,,
008FREEDOM,4785.882352941177,3860.3225806451615,0.806606,-925.559772
008JOCKER,5719.117647058823,4499.193548387097,0.786694,-1219.924099
008LUMIA,,312.0,,
008SUMMER ROMANCE,,0.0,,
008VACIO,,0.0,,
009HOT BUBBLES,10801.176470588236,10196.774193548386,0.944043,-604.402277
010COOLDOWN,1614.1176470588234,2254.3548387096776,1.396648,640.237192
010VIOLET HILL,3457.3529411764707,3719.516129032258,1.075828,262.163188
011BRIGHTON,2975.0,2945.967741935484,0.990241,-29.032258
011CANDLELIGHT,5087.058823529412,4647.096774193548,0.913513,-439.962049
011CAYENNE,1665.8823529411766,1328.7096774193549,0.797601,-337.172676
011LUMIA,2032.9411764705883,1731.2903225806451,0.851619,-301.650854
011STARDUST,3825.0,3390.3225806451615,0.886359,-434.677419
012DEEP PURPLE,18259.41176470588,14100.967741935483,0.772258,-4158.444023
012LIGHT HOUSE,1844.1176470588234,1451.6129032258063,0.787159,-392.504744
