Bloque&Varid,Media_2025,Media_2026
001BELIEVE IN PINK,1406.5384615384614,1460.5263157894738
001EXPLORER,4131.25,5033.5526315789475
001GRACE KELLY,2056.6346153846152,2329.7368421052633
001IDOLE,1366.3461538461538,931.0
001LIGHT HOUSE,1996.1538461538462,2294.2105263157896
001LUMIA,2094.0384615384614,2328.157894736842
001MOMENTUM,3910.096153846154,4528.289473684211
002SOMERSET,9392.307692307691,9372.105263157895
002SUMMER ROMANCE,1415.3846153846155,1739.1891891891892
002SWEETNESS,7516.7307692307695,7692.631578947368
003CABARET,5879.423076923077,6603.9473684210525
003DEEP PURPLE,11297.307692307691,11442.631578947368
003EXPLORER,2339.903846153846,2515.1315789473683
003JOCKER,926.4423076923077,1138.8157894736842
003QUICKSAND,1967.3076923076924,2243.684210526316
004BELLINA,1712.8846153846155,1889.6052631578948
004COTOPAXI,1208.076923076923,1267.1052631578948
004DEEP PURPLE,12381.923076923076,12932.368421052632
004HOT EXPLORER,3306.6346153846152,3433.5526315789475
004HOT MERENGUE,2694.230769230769,3239.2105263157896
004SWEETNESS,679.6153846153846,662.3684210526316
005ELBA,7629.2307692307695,8773.157894736842
005EXPLORER,1686.5384615384614,1890.7894736842106
005GOLDFINCH,1270.8653846153845,1251.9736842105262
005HOT BUBBLES,1351.1538461538462,1488.421052631579
005JOCKER,2222.596153846154,2470.3947368421054
005SUSPIRO,3612.1153846153848,5137.105263157895
005VACIO,0.0,
005VENDELA,1997.3076923076924,1959.4736842105262
006ATOMIC,1494.2307692307693,1329.054054054054
006EXPLORER,6447.596153846154,7808.5526315789475
006MONDIAL,6904.326923076923,8019.078947368421
006VACIO,0.0,
007COTOPAXI,6854.423076923077,7056.315789473684
007REDIANT,1357.2115384615386,1828.421052631579
007SNOW BUBBLES,1102.6923076923076,1214.5945945945946
007SUMMER ROMANCE,165.69767441860466,609.6774193548387
007TOPACIO,0.0,0.0
007VENDELA,10843.846153846154,11373.947368421053
008DEEP PURPLE,5374.615384615385,5531.0526315789475
008FREE SPIRIT,2381.25,
008FREEDOM,4261.7307692307695,4661.0526315789475
008JOCKER,5150.4807692307695,5857.894736842105
008LUMIA,312.0,2298.9473684210525
008SUMMER ROMANCE,0.0,
008VACIO,0.0,
009HOT BUBBLES,10912.307692307691,11062.105263157895
010COOLDOWN,2008.9423076923076,3360.3947368421054
010VIOLET HILL,3761.6346153846152,5029.473684210527
011BRIGHTON,3172.596153846154,3634.8684210526317
011CANDLELIGHT,4945.0,4734.210526315789
011CAYENNE,1473.4615384615386,1552.8947368421052
