Bloque&Varid,Media_2025_Sem1_17,Media_2025_Sem22_52,Delta,Cambio_pct,Grupo_tendencia
021FLAME CLUB,1713.235294117647,1888.7096774193549,175.4743833017078,10.24228160044303,Aumenta >10%
033CREAMY FOLIES,1094.1176470588234,1212.5806451612902,118.46299810246683,10.827263267429766,Aumenta >10%
014FRUITY BUBBLES,3200.0,3566.1290322580644,366.1290322580644,11.441532258064512,Aumenta >10%
020TYCOON,1090.5882352941176,1217.4193548387098,126.83111954459218,11.629606430733912,Aumenta >10%
007VENDELA,9575.29411764706,10891.935483870968,1316.6413662239083,13.750401293651823,Aumenta >10%
005SUSPIRO,3070.5882352941176,3722.9032258064517,652.3149905123341,21.243974786800155,Aumenta >10%
018COSMO,3189.705882352941,3904.032258064516,714.3263757115751,22.39474114725086,Aumenta >10%
002SUMMER ROMANCE,1072.0588235294117,1440.3225806451612,368.2637571157495,34.35107748130448,Aumenta >10%
010COOLDOWN,1614.1176470588234,2254.3548387096776,640.2371916508541,39.66484059061414,Aumenta >10%
031VELVET BLOSSOMS,308.2352941176471,460.64516129032256,152.4098671726755,49.445949273577924,Aumenta >10%
026PURPLE BUBBLY,1148.8235294117646,582.5806451612904,-566.2428842504743,-49.28893513701006,Disminuye >10%
008DEEP PURPLE,6845.294117647059,4472.903225806452,-2372.390891840607,-34.6572528669677,Disminuye >10%
001IDOLE,1655.2941176470588,1098.5483870967741,-556.7457305502846,-33.63424811426737,Disminuye >10%
031SOMERSET,2681.176470588235,1802.5806451612902,-878.5958254269449,-32.769041316933006,Disminuye >10%
027SATISFACTION,5622.35294117647,4028.7096774193546,-1593.6432637571156,-28.344774517546522,Disminuye >10%
030SOMERSET,3937.6470588235293,2821.935483870968,-1115.7115749525615,-28.33447381863392,Disminuye >10%
005EXPLORER,2035.2941176470588,1462.9032258064517,-572.3908918406071,-28.123251911243702,Disminuye >10%
005GOLDFINCH,1526.4705882352941,1103.0645161290322,-423.40607210626195,-27.737584685188644,Disminuye >10%
027TIFFANY,5569.411764705882,4047.0967741935483,-1522.3149905123337,-27.333496872316935,Disminuye >10%
013LUMIA,820.0,598.3870967741935,-221.61290322580646,-27.02596380802518,Disminuye >10%
017GOLDFINCH,3684.705882352941,2720.1612903225805,-964.5445920303605,-26.176976475919744,Disminuye >10%
023FRUTTETO,6980.882352941177,5173.064516129032,-1807.8178368121444,-25.896695366173546,Disminuye >10%
001LIGHT HOUSE,2290.5882352941176,1704.1935483870968,-586.3946869070207,-25.600178935334757,Disminuye >10%
028DEEP PURPLE,8761.764705882353,6534.193548387097,-2227.5711574952566,-25.423772861644416,Disminuye >10%
016DREAM IN PEACH,1662.3529411764705,1243.5483870967741,-418.80455407969635,-25.19347989863708,Disminuye >10%
022CORAL REEF,2876.470588235294,2166.1290322580644,-710.3415559772297,-24.694900719044796,Disminuye >10%
017FREEDOM,6690.0,5115.4838709677415,-1574.5161290322585,-23.535368146969486,Disminuye >10%
030EXPLORER,3189.705882352941,2450.8064516129034,-738.8994307400376,-23.16512738143041,Disminuye >10%
