Bloque&Varid,Media_2025_Sem1_17,Media_2025_Sem22_52
001BELIEVE IN PINK,1402.9411764705883,1389.6774193548388
001EXPLORER,4267.64705882353,4059.6774193548385
001GRACE KELLY,2160.294117647059,1899.032258064516
001IDOLE,1655.2941176470588,1098.5483870967741
001LIGHT HOUSE,2290.5882352941176,1704.1935483870968
001LUMIA,2357.6470588235293,1843.5483870967741
001MOMENTUM,3994.1176470588234,3813.7096774193546
002SOMERSET,9547.058823529413,8978.064516129032
002SUMMER ROMANCE,1072.0588235294117,1440.3225806451612
002SWEETNESS,7376.470588235294,7435.1612903225805
003CABARET,6277.058823529412,5570.322580645161
003DEEP PURPLE,12871.764705882353,10263.870967741936
003EXPLORER,2388.235294117647,2287.0967741935483
003JOCKER,983.8235294117648,822.5806451612904
003QUICKSAND,2174.1176470588234,1762.258064516129
004BELLINA,1790.2941176470588,1676.1290322580646
004COTOPAXI,1184.1176470588234,1187.4193548387098
004DEEP PURPLE,13690.588235294117,11474.516129032258
004HOT EXPLORER,3484.705882352941,3125.3225806451615
004HOT MERENGUE,3185.294117647059,2504.516129032258
004SWEETNESS,723.5294117647059,620.3225806451613
005ELBA,7148.823529411765,7554.193548387097
005EXPLORER,2035.2941176470588,1462.9032258064517
005GOLDFINCH,1526.4705882352941,1103.0645161290322
005HOT BUBBLES,1325.8823529411766,1280.0
005JOCKER,2322.0588235294117,2096.7741935483873
005SUSPIRO,3070.5882352941176,3722.9032258064517
005VACIO,0.0,
005VENDELA,2092.9411764705883,1817.4193548387098
006ATOMIC,1744.1176470588234,1374.1935483870968
006EXPLORER,6845.588235294118,6052.419354838709
006MONDIAL,7663.235294117647,6241.129032258064
006VACIO,0.0,
007COTOPAXI,6488.823529411765,6779.032258064516
007REDIANT,1258.8235294117646,1375.8064516129032
007SNOW BUBBLES,1194.1176470588234,1009.0322580645161
007SUMMER ROMANCE,0.0,229.83870967741936
007TOPACIO,0.0,0.0
007VENDELA,9575.29411764706,10891.935483870968
008DEEP PURPLE,6845.294117647059,4472.903225806452
008FREE SPIRIT,2405.8823529411766,
008FREEDOM,4785.882352941177,3860.3225806451615
008JOCKER,5719.117647058823,4499.193548387097
008LUMIA,,312.0
008SUMMER ROMANCE,,0.0
008VACIO,,0.0
009HOT BUBBLES,10801.176470588236,10196.774193548386
010COOLDOWN,1614.1176470588234,2254.3548387096776
010VIOLET HILL,3457.3529411764707,3719.516129032258
011BRIGHTON,2975.0,2945.967741935484
011CANDLELIGHT,5087.058823529412,4647.096774193548
011CAYENNE,1665.8823529411766,1328.7096774193549
011LUMIA,2032.9411764705883,1731.2903225806451
011STARDUST,3825.0,3390.3225806451615
012DEEP PURPLE,18259.41176470588,14100.967741935483
012LIGHT HOUSE,1844.1176470588234,1451.6129032258063
013COUNTRY BLUES,1375.2941176470588,1394.1935483870968
013LORRAINE,3751.470588235294,3383.064516129032
013LUMIA,820.0,598.3870967741935
013VENDELA,9398.823529411764,9592.258064516129
014FRUITY BUBBLES,3200.0,3566.1290322580644
014STARDUST,6555.882352941177,5529.032258064516
015FELLINI,5469.411764705882,5350.322580645161
015JOCKER,4361.764705882353,3797.5806451612902
016DREAM IN PEACH,1662.3529411764705,1243.5483870967741
016GOOD PEACH,3208.235294117647,3398.7096774193546
016GOOD YELLOW,3111.176470588235,3120.967741935484
016NINA,3133.823529411765,2493.548387096774
017FREEDOM,6690.0,5115.4838709677415
017GOLDFINCH,3684.705882352941,2720.1612903225805
017ORANGE STAR,1817.6470588235295,1545.1612903225807
018BRIGHTON,2101.470588235294,1980.6451612903227
018COSMO,3189.705882352941,3904.032258064516
018RUBICON,4222.941176470588,4191.290322580645
019BELLINA,2007.3529411764705,1542.5806451612902
019BRIGHTON,7485.294117647059,6499.193548387097
019TABATHA,3000.0,2463.8709677419356
020BRIGHTON,5313.235294117647,4762.903225806452
020SUMMER DANCE,3200.0,3116.935483870968
020TYCOON,1090.5882352941176,1217.4193548387098
021ELEGANT ROSEVER,672.3529411764706,724.8387096774194
021FLAME CLUB,1713.235294117647,1888.7096774193549
021KELLY,747.0588235294117,654.8387096774194
021LEILA,3811.764705882353,3536.2903225806454
021PISTACHIO KISS,,0.0
021SHOW GIRL,1805.8823529411766,1742.4193548387098
021SNOW BUBBLES,2782.3529411764707,2673.548387096774
022CORAL REEF,2876.470588235294,2166.1290322580644
022FRUITY BUBBLES,5426.470588235294,5388.709677419355
022GOOD PEACH,2650.5882352941176,2467.7419354838707
022MIRABEL,1967.0588235294117,1780.6451612903227
023COTOPAXI,6058.235294117647,6578.709677419355
023FRUTTETO,6980.882352941177,5173.064516129032
024COTOPAXI,3571.764705882353,3391.935483870968
024SWEETNESS,2520.0,2143.548387096774
024TYCOON,4980.0,3960.0
